iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI
NOR,2001,13.4958141529883,13.1731546828415,31.832714307507,15.322639073119058,5.056111528817695,3.004197,53.94260086627332,82.34336853027344,77.53337860107422,75.58067321777344,79.48609161376953,82.96976470947266,77.03227233886719,70.51132202148438,83.55323028564453,81.00814056396484,89.19416809082031,72.82211303710938,90.86890411376953,90.46455383300781,91.27324676513672,86.52692413330078
NOR,2002,14.5350335167136,9.02691246655522,39.1110159224368,15.328031981169563,5.055880725976089,1.286725,53.5644614689625,80.55176544189453,73.07013702392578,73.60699462890625,72.53326416015625,83.1414566040039,76.1002426147461,71.74847412109375,80.45201110839844,81.83383178710938,89.1169204711914,74.5507583618164,91.49030303955078,91.01596069335938,91.96463775634766,85.4437484741211
NOR,2003,15.3169611383571,7.20457067140203,48.3992921591977,15.333897308089432,5.045560750957625,2.487826,53.15501024141558,81.06806182861328,75.15593719482422,74.52552032470703,75.786376953125,82.73504638671875,76.68193817138672,72.56383514404297,80.80004119873047,79.88536071777344,89.32865905761719,70.44204711914062,91.63784790039062,92.27435302734375,91.00135040283203,85.313232421875
NOR,2004,14.3414630872708,10.8347691965262,50.2183015374222,15.339806617486335,5.053172150200528,0.4544985,52.7570832006829,81.75636291503906,76.14690399169922,73.00475311279297,79.28904724121094,84.00834655761719,76.84346771240234,72.71194458007812,80.97498321533203,82.58100891113281,89.6081314086914,75.55387878417969,92.60059356689453,93.57805633544922,91.62311553955078,85.11387634277344
NOR,2005,13.0573444558113,14.7208515811917,47.2129724121424,15.346617347128209,5.051320588073417,1.532134,52.32209862457486,81.10655212402344,74.77201843261719,69.25277709960938,80.29127502441406,83.1407241821289,77.1114501953125,73.17752838134766,81.04537200927734,79.54464721679688,89.56804656982422,69.52124786376953,92.76604461669922,92.87057495117188,92.66151428222656,85.40687561035156
NOR,2006,12.0911279800042,17.8814781254832,58.0447774074194,15.354671274519818,5.043160798119143,2.32935,51.79583234403534,81.90653991699219,75.6953125,70.07284545898438,81.31777954101562,84.02837371826172,77.884033203125,74.77140045166016,80.9966812133789,80.44931030273438,90.53570556640625,70.36292266845703,93.75175476074219,93.81836700439453,93.68513488769531,85.99596405029297
NOR,2007,11.8917079842418,17.0377268794589,55.8464333561848,15.3650186196726,5.042423557461462,0.7125891,51.26844216876372,82.60875701904297,76.41322326660156,71.0739517211914,81.75251770019531,84.23949432373047,78.3253402709961,75.1252670288086,81.52542114257812,81.22846984863281,91.49919128417969,70.9577407836914,93.16466522216797,94.09384155273438,92.23548126220703,87.17346954345703
NOR,2008,11.478051282638,18.5309003429664,54.4622429992796,15.377481949826118,5.038221375103122,3.753931,50.92175904619683,80.76829528808594,75.39096069335938,71.10454559326172,79.6773910522461,79.49671173095703,79.0836410522461,76.41940307617188,81.74787139892578,82.73600006103516,93.42857360839844,72.0434341430664,76.67050170898438,60.3663215637207,92.97467041015625,87.4172134399414
NOR,2009,13.4985194973833,10.1945229600871,48.6123771986202,15.390093222719885,5.047821959206468,2.197386,50.8957069938457,81.50828552246094,76.53510284423828,71.01206970214844,82.05813598632812,79.54605865478516,78.95352172851562,76.78075408935547,81.12628936767578,82.1978530883789,92.07757568359375,72.31812286376953,77.48683166503906,61.185482025146484,93.7881851196289,88.4437484741211
NOR,2010,13.3670664720416,10.8714334460117,48.9697933215141,15.402549884515507,5.019428539943102,2.418906,51.03827692368525,80.96665954589844,75.17066192626953,70.14384460449219,80.19746398925781,79.90242767333984,80.2908935546875,77.00431823730469,83.57746887207031,80.89058685302734,88.74403381347656,73.03714752197266,78.5257568359375,63.131893157958984,93.91962432861328,87.82686614990234
NOR,2011,13.1680195478249,13.2728976426095,34.5074199383686,15.415521778422436,5.002710213438735,1.284952,51.22307464968651,80.67176818847656,73.97076416015625,68.57459259033203,79.36692810058594,80.2499008178711,80.58486938476562,78.5489730834961,82.62076568603516,81.06800842285156,88.82901763916016,73.30699920654297,79.09680938720703,64.70577239990234,93.48786163330078,87.79463195800781
NOR,2012,13.0689669274931,13.6795389199697,35.8068481500515,15.428656188309334,5.008587251621612,0.6968641,51.44406156895395,81.34780883789062,74.9810791015625,69.42880249023438,80.53334045410156,80.9180908203125,81.57272338867188,79.2369384765625,83.90850830078125,80.75023651123047,87.94921875,73.5512466430664,80.43132781982422,66.36219787597656,94.50043487548828,88.14427185058594
NOR,2013,13.1870493004804,10.6083968242925,36.3903589740273,15.440747604202349,4.995661179547309,2.120486,51.671601833690495,81.23839569091797,74.79114532470703,68.71760559082031,80.86470794677734,80.65611267089844,81.25419616699219,78.89485168457031,83.61354064941406,80.85717010498047,87.91680908203125,73.79752349853516,79.85700225830078,67.15409851074219,92.55992126464844,88.26793670654297
NOR,2014,13.6614674790371,8.57198341312495,34.8583723646543,15.452024970975842,4.989198294741381,2.041703,51.888856793045775,81.44380187988281,75.0231704711914,68.7712631225586,81.27509307861328,80.73082733154297,80.88262176513672,78.97246551513672,82.79280090332031,80.30416870117188,86.54297637939453,74.06535339355469,81.00566101074219,68.97581481933594,93.0354995727539,88.5774154663086
NOR,2015,14.7158488816788,5.98747740946776,40.2791466185842,15.461975818345426,4.977735357877674,2.171137,52.10445668446971,82.77238464355469,78.35114288330078,73.49519348144531,83.20706176757812,81.08829498291016,80.18395233154297,78.25485229492188,82.11306762695312,81.59601593017578,88.4857177734375,74.70632934570312,81.48489379882812,70.3905258178711,92.57926940917969,88.87769317626953
NOR,2016,15.3550265000233,4.0362511974352,44.2531614696239,15.470785516499024,4.968087950906516,3.55,52.416185960757154,82.82533264160156,77.64550018310547,73.4751968383789,81.81581115722656,82.0285873413086,79.8288803100586,77.94859313964844,81.70916748046875,82.23664093017578,89.45135498046875,75.02192687988281,84.020263671875,74.99278259277344,93.04773712158203,88.80189514160156
NOR,2017,14.8467862717466,4.95744489412456,44.53984724518,15.478862248317874,4.963406332615458,1.875101,52.81872178251943,82.90167236328125,77.54814910888672,73.287841796875,81.80844116210938,82.72744750976562,78.94447326660156,76.85466003417969,81.03428649902344,82.31463623046875,89.76947021484375,74.85980224609375,86.92318725585938,79.89912414550781,93.94725799560547,88.42941284179688
NOR,2018,14.1268714451036,7.81371930343531,45.2645976702334,15.485463156760364,4.947652071299388,2.764831,53.19602768415971,82.90497589111328,77.4323959350586,73.06372833251953,81.80105590820312,82.66651916503906,78.7817153930664,76.92695617675781,80.63648223876953,81.74160766601562,88.29967498779297,75.18354797363281,87.4761962890625,80.66345977783203,94.28893280029297,88.61599731445312
NOR,2019,14.5747340028474,6.52249399975594,46.5231667944144,15.492213770492821,4.941036338977721,2.16773,53.45068464496337,83.21625518798828,78.29257202148438,74.08121490478516,82.50392150878906,82.62120056152344,78.62364196777344,76.61271667480469,80.63457489013672,81.98546600341797,87.95773315429688,76.01318359375,87.25450897216797,80.11355590820312,94.39546203613281,88.73497772216797
NOR,2020,16.7359944533919,-2.55949964972591,53.2608422466647,15.498101343733252,4.966824775884305,1.286585,53.702403677331745,82.64905548095703,77.22977447509766,72.42495727539062,82.03457641601562,82.41226959228516,77.32754516601562,74.02430725097656,80.63078308105469,81.74923706054688,87.58191680908203,75.91656494140625,88.1600112915039,80.70512390136719,95.61489868164062,88.30514526367188
NOR,2021,13.7501269099808,10.2857769271117,47.8564880298767,15.503449066552001,4.9422757434478894,3.483881,53.99426029469592,82.7022476196289,76.67095184326172,71.34033203125,82.00155639648438,82.63716888427734,76.70346069335938,73.4509506225586,79.95596313476562,82.380615234375,88.16609191894531,76.59513854980469,88.82743072509766,81.94673156738281,95.7081298828125,88.7986831665039
NOR,2022,10.7803524409664,25.4528724965789,42.0743584622458,15.512433018758106,4.939556019010812,5.764123,54.12189436981101,82.5889663696289,77.74420928955078,74.2874984741211,81.20091247558594,83.40630340576172,78.29523468017578,76.06446838378906,80.52600860595703,82.6501693725586,88.46702575683594,76.83331298828125,89.27354431152344,82.37188720703125,96.17520141601562,86.61634063720703
NOR,2023,13.1353750121916,16.5862446344437,50.9200366813933,15.523816133032069,4.918047561733269,5.51785,53.942338290988225,83.8358154296875,79.88846588134766,76.82518005371094,82.95174407958984,84.8183364868164,78.53437042236328,76.82566833496094,80.24307250976562,82.75527954101562,88.47745513916016,77.0331039428711,93.16533660888672,90.14156341552734,96.18912506103516,86.80062866210938
NZL,1980,15.15,,,14.9510653255541,4.646120796236989,17.15056,,59.4332275390625,56.0325813293457,66.4820785522461,45.58308792114258,64.35826110839844,64.62245178222656,68.58988952636719,60.65501403808594,52.99430847167969,61.63619613647461,44.35240936279297,75.45801544189453,71.7918472290039,79.12419128417969,57.908851623535156
NZL,1981,15.42,,,14.954912840640628,4.6740524406905655,15.37015,,59.755226135253906,57.75328826904297,65.39442443847656,50.112144470214844,64.2937240600586,64.82498168945312,68.5748519897461,61.07509994506836,52.99835205078125,61.63619613647461,44.36050796508789,75.05784606933594,71.9882583618164,78.12743377685547,57.218650817871094
NZL,1982,14.79,,,14.964847646123994,4.682094439410523,16.16369,,59.74977111816406,58.63167953491211,65.18557739257812,52.077781677246094,64.46278381347656,64.84290313720703,68.55581665039062,61.12998962402344,53.686302185058594,62.0584831237793,45.31412887573242,74.85913848876953,72.20033264160156,77.5179443359375,56.15484619140625
NZL,1983,,,,14.978442593840684,4.681927150746497,7.341074,,59.78147506713867,58.19715118408203,63.87290954589844,52.52138900756836,64.4532470703125,64.84941864013672,68.5265884399414,61.172245025634766,53.54275131225586,62.059776306152344,45.02573013305664,74.9675521850586,72.31846618652344,77.61665344238281,56.69401931762695
NZL,1984,,,,14.987094459088206,4.679676875072224,6.17125,,61.34103012084961,62.454654693603516,65.341796875,59.56751251220703,65.14684295654297,65.05744171142578,68.50008392333984,61.61478805541992,54.23568344116211,62.471004486083984,46.000370025634766,76.14739227294922,72.5059585571289,79.78882598876953,56.421566009521484
NZL,1985,,,,14.993272848270122,4.662849146542309,15.41766,,61.80035400390625,63.38411331176758,64.16607666015625,62.60216522216797,65.08998107910156,65.0794906616211,68.4720687866211,61.68691635131836,53.61716842651367,62.462562561035156,44.77177047729492,76.57324981689453,72.55880737304688,80.58769226074219,56.92696762084961
NZL,1986,11.2382234185734,-6.80241491667622,,14.99302644422785,4.601361190968228,13.2134,,61.79436492919922,63.481544494628906,61.30265426635742,65.66043090820312,65.25125122070312,65.08731079101562,68.44627380371094,61.72834777832031,52.997249603271484,62.466453552246094,43.52805709838867,77.66920471191406,72.96754455566406,82.3708724975586,56.650299072265625
NZL,1987,12.0475087083954,-2.62516089830297,,15.00164520416033,4.582444635711486,15.74429,,61.276145935058594,62.3387451171875,60.365360260009766,64.31212615966797,65.27815246582031,65.2965316772461,68.41943359375,62.17361831665039,52.357337951660156,62.433204650878906,42.2814826965332,78.18058013916016,72.8984603881836,83.46270751953125,56.21153259277344
NZL,1988,12.7300787223198,-4.85188312709451,,15.004390028842554,4.564874146879037,6.375257,,62.96247100830078,61.967491149902344,61.09271240234375,62.842281341552734,66.08131408691406,65.5853042602539,68.39735412597656,62.773250579833984,53.049034118652344,62.833534240722656,43.264522552490234,79.6095962524414,73.03874206542969,86.18045043945312,60.838626861572266
NZL,1989,13.3623635023782,-3.6154969730379,,15.009190572804778,4.534648875604716,5.715991,,62.68922424316406,60.387638092041016,54.232295989990234,66.54299926757812,66.1336669921875,65.79286193847656,68.37648010253906,63.209224700927734,54.119422912597656,67.19435119628906,41.044490814208984,78.4887466430664,73.03075408935547,83.94672393798828,61.546348571777344
NZL,1990,14.7738915803432,-4.89231639420596,,15.018422800092889,4.508868988287707,6.098439,52.2165060145131,62.51426315307617,61.87067413330078,54.6151123046875,69.12623596191406,65.13017272949219,65.79376220703125,68.36141204833984,63.22611999511719,52.24944305419922,66.02464294433594,38.474239349365234,77.34732818603516,73.61144256591797,81.08322143554688,60.54191589355469
NZL,1991,14.5737135788172,-3.58108630445999,,15.066872545544014,4.448111720981522,2.602399,52.312380049261506,64.02864074707031,62.38691711425781,55.04106140136719,69.73277282714844,65.49455261230469,65.78129577636719,68.34857940673828,63.21400451660156,52.0363883972168,65.60243225097656,38.47035598754883,78.66598510742188,73.27926635742188,84.05270385742188,64.20443725585938
NZL,1992,14.3122746079583,-2.98576856179103,,15.077289899386232,4.436411855376978,1.014557,52.37793628577001,65.404052734375,63.200462341308594,56.537986755371094,69.8629379272461,65.81329345703125,66.06206512451172,68.49834442138672,63.625789642333984,52.7680778503418,66.75568389892578,38.78047180175781,78.60973358154297,73.12081909179688,84.09864807128906,67.19841003417969
NZL,1993,13.5045666587734,-0.408302452730615,63.0948152200391,15.08869221045252,4.480253896563246,1.28821,52.61044519852987,66.43844604492188,63.355857849121094,56.56614303588867,70.14559173583984,66.70772552490234,66.12178802490234,68.50504302978516,63.7385139465332,54.5169677734375,66.0458755493164,42.98805236816406,79.48442077636719,73.25094604492188,85.71790313720703,69.25176239013672
NZL,1994,12.9022039451836,2.57477872918913,55.6103409729744,15.101984583801954,4.500172237928022,1.745376,52.777190443573076,67.32616424560547,63.98357009887695,57.25617218017578,70.7109603881836,68.4752197265625,66.58914947509766,68.51158142089844,64.66669464111328,58.83226776123047,67.68441009521484,49.980125427246094,80.00423431396484,73.33379364013672,86.6746826171875,69.51972961425781
NZL,1995,12.4652777056165,2.37102233244137,49.7708840630762,15.11662822167657,4.505126146127866,3.754941,52.831992610945036,68.30769348144531,64.41299438476562,57.6767578125,71.14923858642578,69.24617767333984,66.79063415527344,68.52164459228516,65.05963134765625,60.067012786865234,68.94295501708984,51.19106674194336,80.8808822631836,73.73605346679688,88.02570343017578,71.26387023925781
NZL,1996,12.270900386742,2.41875829894047,43.5403460937578,15.132454840949372,4.498790896000328,2.285714,52.78932636365088,68.49756622314453,65.70426940917969,57.79227828979492,73.61625671386719,70.23539733886719,67.39824676513672,68.5416488647461,66.25484466552734,62.60905075073242,73.08602905273438,52.1320686340332,80.69892120361328,73.68497467041016,87.7128677368164,69.55302429199219
NZL,1997,12.3876209285019,0.859701212845195,41.0579672472056,15.14557842381436,4.48860968398282,1.187151,52.74986517793483,68.90032196044922,66.42399597167969,59.431095123291016,73.41691589355469,70.80732727050781,67.45842742919922,68.72113800048828,66.1957015991211,65.09932708740234,75.38299560546875,54.81565475463867,79.8642349243164,73.62916564941406,86.09929656982422,69.46961975097656
NZL,1998,12.3445467906054,-0.0188909144147121,40.8459351474908,15.154451222700695,4.471413693744836,1.26524,52.77801694534472,69.55016326904297,67.67446899414062,60.17662048339844,75.17231750488281,72.52552795410156,67.87115478515625,68.76177978515625,66.98053741455078,69.96735382080078,75.3567886352539,64.57792663574219,79.73807525634766,72.11188507080078,87.36425018310547,68.45050811767578
NZL,1999,11.6116676087187,-0.219377112853341,38.2795080198519,15.159706068062826,4.490950095497514,-0.1142663,52.78028974514443,71.77995300292969,69.06013488769531,61.940792083740234,76.17947387695312,74.0861587524414,69.04206085205078,69.21086883544922,68.87325286865234,72.48843383789062,78.29854583740234,66.6783218383789,80.72798919677734,72.83353424072266,88.62244415283203,72.19354248046875
NZL,2000,11.055636682243,1.68407354829987,36.2396910701007,15.16558170892664,4.473968865207951,2.615233,52.71729663821634,73.66001892089844,71.13545989990234,64.60919952392578,77.6617202758789,74.82830810546875,69.8623046875,69.66693115234375,70.05767059326172,73.18605041503906,78.38140869140625,67.99069213867188,81.43656158447266,72.31057739257812,90.56253814697266,75.01626586914062
NZL,2001,10.4521256759277,1.37131636870358,34.2813216168889,15.17147456927633,4.496524201305005,2.625821,52.48488806578637,74.05256652832031,70.48793029785156,63.79800796508789,77.17784881591797,75.55731964111328,71.79390716552734,71.08090209960938,72.50691986083984,75.61309051513672,81.9614028930664,69.26478576660156,79.26493072509766,72.2258529663086,86.30400848388672,76.1124267578125
NZL,2002,10.0200321046285,3.34210998743343,32.4209975977783,15.188846317919772,4.519271052044959,2.677091,51.96515558483974,73.21504974365234,68.52481842041016,61.63139343261719,75.41825103759766,76.33252716064453,73.0706787109375,73.58955383300781,72.55181121826172,76.20745086669922,82.16460418701172,70.25030517578125,79.7194595336914,72.49073791503906,86.94818115234375,74.78778076171875
NZL,2003,9.74217785467128,3.50455733766693,30.4149482466404,15.20858190336319,4.532417401306724,1.753576,51.34933615547431,72.61367797851562,67.56017303466797,60.091312408447266,75.0290298461914,77.01978302001953,73.89912414550781,75.35667419433594,72.44158935546875,76.71372985839844,82.70184326171875,70.72561645507812,80.44647216796875,73.9272689819336,86.96569061279297,73.2611312866211
NZL,2004,9.08096442759352,4.11740485853774,27.6779203060184,15.223444094187647,4.524640181271301,2.290249,50.84773660121505,72.798828125,68.44773864746094,60.775840759277344,76.11962127685547,77.40123748779297,74.98206329345703,76.7670669555664,73.19705200195312,76.56175231933594,82.94789123535156,70.17561340332031,80.6599349975586,75.6999740600586,85.61988830566406,72.5475082397461
NZL,2005,9.06618059519207,4.79951246206656,26.5280596918721,15.234731829284446,4.523048815223917,3.037021,50.50374830387929,72.55694580078125,67.85675048828125,60.99164962768555,74.72185516357422,77.55656433105469,75.77791595458984,77.50969696044922,74.04615020751953,76.59967041015625,82.86740112304688,70.33192443847656,80.29207611083984,75.2611312866211,85.32303619384766,72.25750732421875
